#CP	R_rs	l_0	n1	-n2
20	4.45e-2	82	3.0 2.8		
21	5.28e-2	78	3.0 2.7
22	6.29e-2	73	3.0 2.7
23	7.42e-2	70	3.0 2.7
24	8.72e-2	65	3.0 2.7
25	1.03e-1	63  2.9 2.7
26	1.22e-1	59  2.9 2.7
27	1.43e-1	56  2.9 2.6
28	1.67e-1	54  3.1 2.6
29	1.94e-1	51  3.2 2.6
30	2.24e-1	48  3.3 2.5
31	2.57e-1	44  3.2 2.4
32	2.95e-1	41  2.9 2.4
33	3.36e-1 39  2.9 2.5
34	3.79e-1	38  2.9 2.5
35	4.25e-1	36  2.9 2.5
36	4.71e-1	34  2.4 2.5
37	5.21e-1	33  2.0 2.3
38	5.72e-1	31  2.0 2.3
39	6.12e-1	31  2.0 2.3
40	6.40e-1	31  2.0 2.3
41	6.46e-1	31  2.0 2.3
42	6.20e-1	31  2.0 2.3
43	5.55e-1	31  2.0 2.3
44	4.22e-1	31  2.0 2.3
45	1.39e-1	31  2.0 2.3
