#CP	R_rs	l_0	n1	-n2
20	4.45e-2	70  2.7 2.4
21	5.30e-2	68  2.7 2.4
22	6.25e-2	63  2.7 2.4
23	7.36e-2	61  2.7 2.5
24	8.76e-2	59  2.5 2.5
25	1.05e-1	58  2.5 2.5
26	1.23e-1	54  2.5 2.5
27	1.45e-1	51  2.5 2.5
28	1.71e-1	52  2.5 2.5
29	1.97e-1	50  2.5 2.5
30	2.32e-1	47  2.2 2.5
31	2.65e-1	45  2.2 2.4
32	3.01e-1	42  2.4 2.4
33	3.49e-1	40  2.4 2.4
34	3.95e-1	37  2.4 2.5
35	4.36e-1	36  2.4 2.5
36	4.86e-1	35  2.2 2.5
37	5.38e-1	35	2.2 2.8
38	5.96e-1	35	2.2 2.8
39	6.29e-1	34	2.2 2.8
40	6.68e-1	34	2.2 2.8
41	6.75e-1	34	2.2 2.8
42	6.83e-1	34	2.2 2.8
43	6.39e-1	34	2.2 2.8
44	5.29e-1	34	2.2 2.8
45	3.39e-1	34	2.2 2.8
