#CP	R_rs	l_0 	n1	-n2
20	4.45e-2	107  2.6 3.0
21	5.30e-2	103  2.6 3.0
22	6.30e-2	95  2.7 3.0
23	7.49e-2	88  2.8 3.0
24	8.81e-2	83  2.8 3.0
25	1.04e-1	79  2.8 2.9
26	1.23e-1	73  3.0 2.8
27	1.44e-1	64  3.0 2.7
28	1.67e-1	63  3.1 2.7
29	1.96e-1	60  3.1 2.7
30	2.26e-1	54  3.1 2.7
31	2.58e-1	50  3.1 2.7	
32	2.98e-1	44  2.4 2.8
33	3.41e-1	42  2.6 2.9
34	3.87e-1	38  2.6 2.9
35	4.32e-1	33  2.6 2.9
36	4.81e-1	28  2.2 2.9
37	5.35e-1	25  2.2 2.9
38	5.70e-1	23  2.2 2.9
39	6.01e-1	23  2.2 2.9
40	6.19e-1	20  2.2 2.9
41	6.35e-1	19  2.2 2.9
42	6.16e-1	17  2.2 2.9
43	5.45e-1	16  2.2 2.9
44	3.90e-1	14  2.2 2.9
45	5.18e-2	13  2.2 2.9
